m,sample_count,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
9599,100,3.531491134876974,0.0054889908745332176,0.0005488990874533218,3.5316002699799918,0.004835645857701015,0.0004835645857701015,0.00010913510301779894
9765,100,3.463445832845147,0.005198987198146105,0.0005198987198146105,3.4634943900820527,0.005042644008950662,0.0005042644008950662,4.8557236905555357e-05
9930,100,3.393749793831068,0.005143292124557963,0.0005143292124557962,3.3941118229766754,0.004507559801283663,0.00045075598012836633,0.0003620291456072344
10096,100,3.3266761547912527,0.004042027180751416,0.00040420271807514155,3.3268643935819178,0.003825937324700769,0.0003825937324700769,0.0001882387906650962
10261,100,3.255652632007042,0.004923130023091602,0.0004923130023091602,3.2561301850998716,0.004082153262970827,0.00040821532629708274,0.00047755309282981884
10427,100,3.1846896822579662,0.004784899338000794,0.0004784899338000794,3.184833603159952,0.004737027630628319,0.0004737027630628319,0.00014392090198578344
10592,100,3.1143336844109006,0.004419051230885348,0.00044190512308853484,3.1143898248161763,0.0040518978453362095,0.00040518978453362093,5.61404052756842e-05
10758,100,3.0427815577057764,0.005125140124847902,0.0005125140124847903,3.0422559395833058,0.004287537145129465,0.0004287537145129465,-0.0005256181224706502
10923,100,2.969994172630844,0.004109537983092269,0.0004109537983092269,2.970152378407635,0.0035805717698719295,0.00035805717698719297,0.00015820577679104275
11088,100,2.8970356034263203,0.003756568673750583,0.0003756568673750583,2.8972681388568686,0.0035574774546576816,0.00035574774546576817,0.0002325354305483529
11254,100,2.8229682269469105,0.0037748995310273514,0.00037748995310273514,2.822835326293486,0.003586136706664182,0.0003586136706664182,-0.00013290065342452806
11419,100,2.7494562877411495,0.0036822660466875046,0.00036822660466875044,2.7496333095455423,0.0034114070594246097,0.000341140705942461,0.00017702180439282955
11585,100,2.673749923158229,0.003779863929074404,0.0003779863929074404,2.674013338636863,0.003404929506945752,0.0003404929506945752,0.0002634154786340659
11750,100,2.5977324338992043,0.004059707124997448,0.0004059707124997448,2.5978453790581555,0.003859637475994151,0.0003859637475994151,0.00011294515895121648
